,index,athlete,sport,log_prob_one_shot,num_athlete_tokens,sport_index,sport_token,prompt,zero_shot_prompt,clp
1,738,Walter Payton,football,-0.105713695,3,2,5842,"Fact: Tiger Woods plays the sport of golf
Fact: Walter Payton plays the sport of",Fact: Walter Payton plays the sport of,-0.36328125
3,14501,Kevin Millwood,baseball,-0.37297902,3,0,14623,"Fact: Tiger Woods plays the sport of golf
Fact: Kevin Millwood plays the sport of",Fact: Kevin Millwood plays the sport of,-0.625
5,16887,Mitch Haniger,baseball,-0.116976544,3,0,14623,"Fact: Tiger Woods plays the sport of golf
Fact: Mitch Haniger plays the sport of",Fact: Mitch Haniger plays the sport of,-0.2890625
6,1371,Landon Collins,football,-0.20103402,3,2,5842,"Fact: Tiger Woods plays the sport of golf
Fact: Landon Collins plays the sport of",Fact: Landon Collins plays the sport of,-0.2890625
10,1046,Michael Floyd,football,-0.176301,3,2,5842,"Fact: Tiger Woods plays the sport of golf
Fact: Michael Floyd plays the sport of",Fact: Michael Floyd plays the sport of,-0.40625
13,6347,Mario Chalmers,basketball,-0.18286932,3,1,14648,"Fact: Tiger Woods plays the sport of golf
Fact: Mario Chalmers plays the sport of",Fact: Mario Chalmers plays the sport of,-0.2353515625
18,1559,Andrew Norwell,football,-0.51362664,3,2,5842,"Fact: Tiger Woods plays the sport of golf
Fact: Andrew Norwell plays the sport of",Fact: Andrew Norwell plays the sport of,-0.90234375
21,9805,Nick Nurse,basketball,-0.36894998,3,1,14648,"Fact: Tiger Woods plays the sport of golf
Fact: Nick Nurse plays the sport of",Fact: Nick Nurse plays the sport of,-0.58203125
22,511,Jason Garrett,football,-0.18991424,3,2,5842,"Fact: Tiger Woods plays the sport of golf
Fact: Jason Garrett plays the sport of",Fact: Jason Garrett plays the sport of,-0.69140625
23,1641,Kyler Murray,football,-0.120549105,3,2,5842,"Fact: Tiger Woods plays the sport of golf
Fact: Kyler Murray plays the sport of",Fact: Kyler Murray plays the sport of,-0.62890625
26,1663,Kelvin Benjamin,football,-0.14182977,3,2,5842,"Fact: Tiger Woods plays the sport of golf
Fact: Kelvin Benjamin plays the sport of",Fact: Kelvin Benjamin plays the sport of,-0.5
27,814,Landry Jones,football,-0.49076635,3,2,5842,"Fact: Tiger Woods plays the sport of golf
Fact: Landry Jones plays the sport of",Fact: Landry Jones plays the sport of,-0.640625
39,332,Alex Smith,football,-0.5479572,2,2,5842,"Fact: Tiger Woods plays the sport of golf
Fact: Alex Smith plays the sport of",Fact: Alex Smith plays the sport of,-0.5
47,1352,Jay Gruden,football,-0.11426395,3,2,5842,"Fact: Tiger Woods plays the sport of golf
Fact: Jay Gruden plays the sport of",Fact: Jay Gruden plays the sport of,-1.2109375
51,5382,Chris Kaman,basketball,-0.07861099,3,1,14648,"Fact: Tiger Woods plays the sport of golf
Fact: Chris Kaman plays the sport of",Fact: Chris Kaman plays the sport of,-0.84375
52,328,John Fox,football,-0.3106938,2,2,5842,"Fact: Tiger Woods plays the sport of golf
Fact: John Fox plays the sport of",Fact: John Fox plays the sport of,-1.46875
53,1072,Nick Foles,football,-0.15133388,3,2,5842,"Fact: Tiger Woods plays the sport of golf
Fact: Nick Foles plays the sport of",Fact: Nick Foles plays the sport of,-0.5546875
54,6612,Michael Jordan,basketball,-0.039785385,2,1,14648,"Fact: Tiger Woods plays the sport of golf
Fact: Michael Jordan plays the sport of",Fact: Michael Jordan plays the sport of,-0.369140625
58,658,Deion Branch,football,-0.23190187,3,2,5842,"Fact: Tiger Woods plays the sport of golf
Fact: Deion Branch plays the sport of",Fact: Deion Branch plays the sport of,-1.1328125
67,12068,Eric Moreland,basketball,-0.15528493,3,1,14648,"Fact: Tiger Woods plays the sport of golf
Fact: Eric Moreland plays the sport of",Fact: Eric Moreland plays the sport of,-0.64453125
68,1802,Corey Davis,football,-0.69585836,3,2,5842,"Fact: Tiger Woods plays the sport of golf
Fact: Corey Davis plays the sport of",Fact: Corey Davis plays the sport of,-0.466796875
69,5882,Isiah Thomas,basketball,-0.09153662,3,1,14648,"Fact: Tiger Woods plays the sport of golf
Fact: Isiah Thomas plays the sport of",Fact: Isiah Thomas plays the sport of,-0.357421875
70,14498,Gary Carter,baseball,-0.16059817,2,0,14623,"Fact: Tiger Woods plays the sport of golf
Fact: Gary Carter plays the sport of",Fact: Gary Carter plays the sport of,-0.2890625
72,466,Matt Cassel,football,-0.56781006,3,2,5842,"Fact: Tiger Woods plays the sport of golf
Fact: Matt Cassel plays the sport of",Fact: Matt Cassel plays the sport of,-0.68359375
75,1868,Josh Allen,football,-0.11613362,2,2,5842,"Fact: Tiger Woods plays the sport of golf
Fact: Josh Allen plays the sport of",Fact: Josh Allen plays the sport of,-0.37890625
78,1540,Aaron Donald,football,-0.0762047,3,2,5842,"Fact: Tiger Woods plays the sport of golf
Fact: Aaron Donald plays the sport of",Fact: Aaron Donald plays the sport of,-0.2353515625
79,518,Ron Rivera,football,-0.14325847,3,2,5842,"Fact: Tiger Woods plays the sport of golf
Fact: Ron Rivera plays the sport of",Fact: Ron Rivera plays the sport of,-1.6484375
81,16728,Sonny Gray,baseball,-0.21652475,3,0,14623,"Fact: Tiger Woods plays the sport of golf
Fact: Sonny Gray plays the sport of",Fact: Sonny Gray plays the sport of,-0.283203125
82,5351,Derrick Rose,basketball,-0.037045836,3,1,14648,"Fact: Tiger Woods plays the sport of golf
Fact: Derrick Rose plays the sport of",Fact: Derrick Rose plays the sport of,-0.158203125
83,901,Lamar Miller,football,-0.22988445,3,2,5842,"Fact: Tiger Woods plays the sport of golf
Fact: Lamar Miller plays the sport of",Fact: Lamar Miller plays the sport of,-0.421875
84,15815,Justin Turner,baseball,-0.3149497,2,0,14623,"Fact: Tiger Woods plays the sport of golf
Fact: Justin Turner plays the sport of",Fact: Justin Turner plays the sport of,-0.431640625
87,160,John Elway,football,-0.091521285,3,2,5842,"Fact: Tiger Woods plays the sport of golf
Fact: John Elway plays the sport of",Fact: John Elway plays the sport of,-1.09375
91,5828,Manute Bol,basketball,-0.18883283,3,1,14648,"Fact: Tiger Woods plays the sport of golf
Fact: Manute Bol plays the sport of",Fact: Manute Bol plays the sport of,-0.41015625
92,702,Julius Thomas,football,-0.3164595,2,2,5842,"Fact: Tiger Woods plays the sport of golf
Fact: Julius Thomas plays the sport of",Fact: Julius Thomas plays the sport of,-0.494140625
97,6447,Al Horford,basketball,-0.055772353,3,1,14648,"Fact: Tiger Woods plays the sport of golf
Fact: Al Horford plays the sport of",Fact: Al Horford plays the sport of,-0.306640625
102,441,Matt Bryant,football,-0.618275,3,2,5842,"Fact: Tiger Woods plays the sport of golf
Fact: Matt Bryant plays the sport of",Fact: Matt Bryant plays the sport of,-1.8515625
105,5330,Dennis Rodman,basketball,-0.25069952,3,1,14648,"Fact: Tiger Woods plays the sport of golf
Fact: Dennis Rodman plays the sport of",Fact: Dennis Rodman plays the sport of,-0.25390625
106,994,Ryan Kalil,football,-0.23966192,3,2,5842,"Fact: Tiger Woods plays the sport of golf
Fact: Ryan Kalil plays the sport of",Fact: Ryan Kalil plays the sport of,-0.76171875
109,14180,Carlos Correa,baseball,-0.047304805,3,0,14623,"Fact: Tiger Woods plays the sport of golf
Fact: Carlos Correa plays the sport of",Fact: Carlos Correa plays the sport of,-0.216796875
112,1746,Jonathan Allen,football,-0.44374573,2,2,5842,"Fact: Tiger Woods plays the sport of golf
Fact: Jonathan Allen plays the sport of",Fact: Jonathan Allen plays the sport of,-0.8515625
113,15115,Jason Heyward,baseball,-0.07423852,3,0,14623,"Fact: Tiger Woods plays the sport of golf
Fact: Jason Heyward plays the sport of",Fact: Jason Heyward plays the sport of,-0.25390625
114,6163,Paul George,basketball,-0.018849999,2,1,14648,"Fact: Tiger Woods plays the sport of golf
Fact: Paul George plays the sport of",Fact: Paul George plays the sport of,-0.2041015625
117,5298,Steve Nash,basketball,-0.1700689,2,1,14648,"Fact: Tiger Woods plays the sport of golf
Fact: Steve Nash plays the sport of",Fact: Steve Nash plays the sport of,-0.470703125
119,209,Marvin Harrison,football,-0.6665727,3,2,5842,"Fact: Tiger Woods plays the sport of golf
Fact: Marvin Harrison plays the sport of",Fact: Marvin Harrison plays the sport of,-1.5859375
121,96,Mike Tomlin,football,-0.1627895,3,2,5842,"Fact: Tiger Woods plays the sport of golf
Fact: Mike Tomlin plays the sport of",Fact: Mike Tomlin plays the sport of,-1.2734375
123,413,Nick Fairley,football,-0.54084176,3,2,5842,"Fact: Tiger Woods plays the sport of golf
Fact: Nick Fairley plays the sport of",Fact: Nick Fairley plays the sport of,-0.4609375
125,16294,Gerrit Cole,baseball,-0.02041331,3,0,14623,"Fact: Tiger Woods plays the sport of golf
Fact: Gerrit Cole plays the sport of",Fact: Gerrit Cole plays the sport of,-0.2890625
